Country.Name,units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Hydroelectric Pumped Storage,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,2.6,2.6,2.7,2.7,2.7,2.6,2.7,2.7,2.7,2.6,2.7,2.7,3.1,4,4.2,4.4,6.4,7.5,7.6,7.5,9.2,9.3,10,11,10,10.60778,10.3451,10.76678,11.45602,12.34206,14.18762,14.395,12.938,15.37192,15.76046
Generation,Billion Kwh,2.6,2.7,2.8,2.8,2.8,2.7,2.8,2.9,2.8,2.5,2.4,2.8,3.4,4.5,4.9,5.2,6.6,8,7.9,7.7,9.2,9.6,11,12,12,11.73978,10.9481,11.37678,12.57302,12.97606,14.81162,15.423,13.987,16.50092,17.50346
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.3,0.5,0.5,0.7,0.8,0.7,0.8,0.9,0.8,0.3,0.4,0.3,0.7,1.3,1.1,1.036,0.688,0.579,0.369,0.616,0.831,0.797,0.997,1.256,0.81
Hydroelectricity,Billion Kwh,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.3,0.5,0.5,0.7,0.8,0.7,0.8,0.9,0.8,0.3,0.4,0.3,0.7,1.3,1.1,1.036,0.688,0.579,0.369,0.616,0.831,0.797,0.997,1.256,0.81
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,1.8,1.8,2.1,2.2,2.3,2.1,2.2,2.3,2.2,2,2.1,2.3,2.9,3.8,4.1,4.5,5.8,7.2,7.1,7.4,8.7,9.2,10,11,11,10.70378,10.2601,10.79778,12.20402,12.36006,13.98062,14.626,12.99,15.24492,16.69346
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,,,,,,,,,,,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.43987,0.52825,0.56522,0.59312,0.72664,0.84642,0.8059,0.73098,0.746,0.765
Generation,Billion Kwh,,,,,,,,,,,,,,,,,,,,0.2,0.3,0.3,0.3,0.3,0.3,0.459,0.525,0.554,0.584,0.648,0.694,0.63,0.486,0.5,0.5
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,0.2,0.3,0.3,0.3,0.3,0.3,0.459,0.525,0.554,0.584,0.648,0.694,0.63,0.486,0.5,0.5
Hydroelectricity,Billion Kwh,,,,,,,,,,,,,,,,,,,,0.2,0.3,0.3,0.3,0.3,0.3,0.459,0.525,0.554,0.584,0.648,0.694,0.63,0.486,0.5,0.5
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,0.8,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.186,0.186,0.2325,0.2325,0.2325,0.2325,0.279,0.279,0.279,0.2976
Generation,Billion Kwh,0.9,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.32
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroelectricity,Billion Kwh,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.32
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,3.3,3.7,3.7,4.4,5.8,7.9,9.8,13,13,14,13,13,13,13,14,14,14,14,10,11,11,11,12,12,13,18.517,20.84,21.087,24.817,22.809,18.882,16.17,12.032,12.39222,9.25814
Generation,Billion Kwh,4.5,5.2,5.6,6.7,8.6,11,12,15,15,15,16,16,16,16,17,17,17,18,13,14,15,15,16,18,19,21.312,23.269,24.66,28.878,29.182,30.605,24.439,32.219,35.63822,35.46714
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroelectricity,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,4.5,5.2,5.6,6.7,8.6,11,12,15,15,15,16,16,16,16,17,17,17,18,13,14,15,15,16,18,19,21.312,23.269,24.66,28.878,29.182,30.605,24.439,32.219,35.63822,35.46714
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,11,9,8.4,8.4,8.4,8.3,8.6,8.2,8.3,8,8.2,8.5,9,8.874113,9.32336,9.6055,9.9557,9.24064,9.24402,9.494,9.68,9.6935,9.90134
Generation,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,18,14,9.2,12,15,13,16,12,10,13,16,17,17,13.069113,10.84036,12.0955,11.928,13.14184,4.24302,3.627,3.945,3.6195,3.09334
Nuclear,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,14,12,7.3,11,13,11,13,9.4,8,11,13,15,14,9.544,7.945,9.075,9.14,10.025,,,,,
Renewables,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.455193,0.431,0.571,0.567,0.722,0.906,1.112,1.197,1.544,1.548
Hydroelectricity,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.446193,0.393,0.417,0.398,0.42,0.535,0.475,0.419,0.516,0.395
Non-Hydroelectric Renewables,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,0.002,0.004,0.007,0.007,0.009,0.038,0.154,0.169,0.302,0.371,0.637,0.778,1.028,1.153
Geothermal,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0.001,0.002,0.014,0.1,0.1,0.2,0.224,0.48,0.54,0.6,0.64
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,0.02,0.045,0.07
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,0.02,0.045,0.07
Biomass and Waste,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,0.002,0.004,0.007,0.006,0.007,0.024,0.054,0.069,0.102,0.147,0.157,0.218,0.383,0.443
Fossil Fuels,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,3.5,1.4,1.5,1.3,1.9,1.9,3,2.6,2.1,2.4,2.5,2.7,2.9,3.21292,2.62636,2.6555,2.437,2.66584,3.60302,2.704,2.932,2.2795,1.79634
Hydroelectric Pumped Storage,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,-0.066,-0.076,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.143,-0.162,-0.206,-0.216,-0.271,-0.266,-0.189,-0.184,-0.204,-0.251
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,3.6,3.4,3.4,3.6,3.8,3.8,3.8,3.9,4,4.1,4.1,4.3,4.2,4.4,4.7,5,4.9,5.2,5.3,5.5,5.8,6.2,5.7,6,6.2,5.98358,6.44118,6.5483,6.44188,5.94242,6.443,6.40848,6.146,6.1508,6.15688
Generation,Billion Kwh,0.8,0.5,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.2,0.4,0.4,0.3,0.1,0.1,0.064,0.062,0.093,0.1,0.6,2.4,2.3,2.9,2.83858,2.99818,2.7023,2.21288,2.64042,2.501,2.04748,2.157,1.3268,1.38288
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.239,0.28,0.301,0.282,0.266,0.312,0.307,0.365,0.421,0.453
Hydroelectricity,Billion Kwh,0.086,0.095,0.084,0.083,0.088,0.071,0.084,0.1,0.097,0.072,0.07,0.083,0.069,0.066,0.1,0.087,0.059,0.082,0.1,0.084,0.1,0.1,0.098,0.078,0.1,0.093,0.11,0.116,0.131,0.105,0.107,0.061,0.098,0.118,0.107
Non-Hydroelectric Renewables,Billion Kwh,0.029,0.033,0.033,0.032,0.035,0.033,0.032,0.042,0.044,0.036,0.034,0.038,0.032,0.04,0.041,0.053,0.042,0.049,0.056,0.071,0.083,0.08395,0.08595,0.09,0.1,0.146,0.17,0.185,0.151,0.161,0.205,0.246,0.267,0.303,0.346
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,0.003,0.011,0.018,0.027,0.024,0.024,0.026,0.039,0.052,0.058,0.064,0.061,0.063,0.055,0.064,0.075,0.08,0.08
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,0.00095,0.00095,0.001,0.009,0.018,0.021,0.021,0.02,0.02,0.021,0.026,0.038,0.07,0.095
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,0.00095,0.00095,0.001,0.009,0.018,0.021,0.021,0.02,0.02,0.021,0.026,0.038,0.07,0.095
Biomass and Waste,Billion Kwh,0.029,0.033,0.033,0.032,0.035,0.033,0.032,0.042,0.044,0.036,0.034,0.038,0.032,0.04,0.041,0.053,0.042,0.046,0.045,0.053,0.056,0.059,0.061,0.063,0.077,0.076,0.091,0.1,0.07,0.078,0.129,0.156,0.154,0.153,0.171
Fossil Fuels,Billion Kwh,0.8,0.6,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.6,2.5,2.5,3,2.92058,3.05218,2.7213,2.25788,2.67242,2.742,2.20148,2.246,1.3348,1.36488
Hydroelectric Pumped Storage,Billion Kwh,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.321,-0.334,-0.32,-0.327,-0.298,-0.553,-0.461,-0.454,-0.429,-0.435
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.5,1.4,1.4,1.4,1.4,1.4,1.5,1.6,1.7,1.8,2.118,2.399,2.959,3.2975,3.4359,3.639,3.856,4.23,4.308,4.536
Generation,Billion Kwh,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.6,1.8,1.905,1.568,1.429,1.138,1.378,1.012,0.833,0.527,0.389,0.603
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroelectricity,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.6,1.8,1.905,1.568,1.429,1.138,1.378,1.012,0.833,0.527,0.389,0.603
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,5.5,4.9,5,5.1,5.5,5.6,5.8,5.4,5.5,5.3,5.3,6,6.1,6.60982,6.78346,7.14072,7.26374,6.73252,7.08726,7.713,7.309,7.07594,6.923
Generation,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,5.7,4.9,5.5,5.8,6.3,6.4,6.7,6.5,6.5,6,5.8,6.4,6.3,6.60282,6.67146,6.15872,5.97474,6.48152,6.94626,6.425,5.936,5.79894,5.032
Nuclear,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,0.8,0.5,0.7,0.8,0.8,0.9,1.1,1.4,1.2,0.6,0.7,1.4,1.5,1.477,1.634,1,0.832,1.257,2.407,1.419,1.031,1.568,1.195
Hydroelectricity,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,0.8,0.5,0.7,0.8,0.8,0.9,1.1,1.4,1.2,0.6,0.7,1.4,1.5,1.477,1.634,1,0.832,1.257,2.407,1.419,1.031,1.568,1.195
Non-Hydroelectric Renewables,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,4.9,4.4,4.8,5,5.4,5.5,5.6,5.1,5.3,5.4,5,5,4.9,5.12582,5.03746,5.15872,5.14274,5.22452,4.53926,5.006,4.905,4.23094,3.837
Hydroelectric Pumped Storage,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.03323,1.05462,1.10112,1.14576,1.14855,1.10112,1.17831,1.3485,1.29084,1.34292
Generation,Billion Kwh,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1.1,1.111,1.134,1.184,1.232,1.235,1.184,1.267,1.45,1.388,1.444
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.641,0.631,0.712,0.692,0.734,0.704,0.69,0.76,0.81,0.84
Hydroelectricity,Billion Kwh,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.641,0.631,0.712,0.692,0.734,0.704,0.69,0.76,0.81,0.84
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.4,0.3,0.4,0.5,0.47,0.503,0.472,0.54,0.501,0.48,0.577,0.69,0.578,0.604
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.9,0.9,0.9,0.9,1,1.1,1.1,1.1,1.1,1.2,1.2,1.4,1.28061,1.3113,1.3392,1.42941,1.40058,1.63029,1.69911,1.78467,1.7205,1.92789
Generation,Billion Kwh,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,1,1,1,1,1,1.2,1.2,1.2,1.2,1.3,1.3,1.5,1.377,1.41,1.44,1.537,1.506,1.753,1.827,1.919,1.85,2.073
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,1,1,1,1,1.1,1.1,1.3,1.307,1.339,1.367,1.521,1.488,1.735,1.809,1.9,1.83,2.05
Hydroelectricity,Billion Kwh,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,1,1,1,1,1.1,1.1,1.3,1.307,1.339,1.367,1.521,1.488,1.735,1.809,1.9,1.83,2.05
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,0.019,0.021,0.02,0.016,0.012,0.016,0.013,0.014,0.014,0.014,0.013,0.014,0.015,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.07,0.071,0.073,0.016,0.018,0.018,0.018,0.019,0.02,0.023
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,9.4,10,11,12,13,14,14,15,17,19,22,24,26,29,34,39,43,51,52,56,60,61,64,68,71,69.12614,75.25278,81.9315,84.0156,102.798,109.844,110.248,118.549,125.45468,130.74782
Generation,Billion Kwh,10,11,11,13,14,15,15,16,18,21,24,27,28,33,37,43,49,55,57,62,66,67,70,75,78,77.97114,84.76178,91.9965,92.3156,109.467,117.693,121.979,126.816,130.59268,139.27882
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,1.4,1.6,1.3,1.7,3.4,3.8,4,4.9,5.6,5.2,3.9,4.4,4.3,4.8,6.5,6.2,5.1,3.8,4.8,7.4,7.3,6.4,5.2,5.7,5.8,5.139,6.378,6.433,7.396,8.067,7.427,8.623,9.832,11.709,14.115
Hydroelectricity,Billion Kwh,1.4,1.6,1.3,1.7,3.4,3.8,4,4.9,5.6,5.2,3.9,4.4,4.3,4.8,6.5,6.2,5.1,3.8,4.8,7.4,7.3,6.4,5.2,5.7,5.8,5.139,6.378,6.425,7.386,6.889,6.407,7.547,8.965,10.48,13.254
